provider_id	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
100242	321625517.00	2713	118549.766679	0.078708
390256	321299471.00	3847	83519.488173	0.193129
310019	320669978.00	2617	122533.426825	0.149770
190036	319926753.00	4687	68258.321528	0.177837
390044	318969105.00	6861	46490.177088	0.204173
30038	318365116.00	3446	92386.858967	0.113159
450119	317493653.00	1750	181424.944571	0.071656
140200	316785484.00	5088	62261.297956	0.142774
170122	316430606.00	6053	52276.657195	0.219966
150021	315396239.00	6469	48755.022260	0.200912
50133	313834713.00	3134	100138.708679	0.145169
390063	313276919.00	2906	107803.482106	0.111928
190176	313044909.00	2834	110460.447777	0.098633
50115	312964682.00	2539	123262.970461	0.107513
50551	312527495.00	1667	187479.001200	0.066090
390067	312412882.00	6370	49044.408477	0.218792
140062	312055388.00	7268	42935.523941	0.182122
300003	311860784.00	4999	62384.633727	0.292116
450231	310687679.00	5011	62001.133307	0.148740
380009	310684102.00	3184	97576.665201	0.274277
340069	308486371.00	5073	60809.456140	0.187088
500054	307925732.00	4141	74360.234726	0.211485
50195	307888824.00	2734	112614.785662	0.135969
490021	307110203.00	6183	49670.095908	0.196847
310028	306863601.00	2322	132154.866925	0.063889
430016	304378783.00	5463	55716.416438	0.183652
200009	304326378.00	4897	62145.472330	0.231156
50503	303285791.00	3369	90022.496587	0.123692
100068	303263815.00	4849	62541.516808	0.154967
140276	302718933.00	3386	89403.110750	0.213739
60100	302294455.00	1788	169068.487136	0.076317
100228	302129155.00	2018	149717.123389	0.070865
420007	298481390.00	5778	51658.253721	0.205897
180103	297411553.00	3807	78122.288679	0.118765
100213	297181835.00	2365	125658.281184	0.081975
670025	296562823.00	2860	103693.294755	0.191182
360020	295972990.00	3691	80187.751287	0.126495
100002	294341560.00	3733	78848.529333	0.125785
230038	292555233.00	6744	43380.076068	0.256568
150017	291265772.00	2422	120258.369942	0.108197
450718	291147036.00	1922	151481.288241	0.077855
110168	291092469.00	2358	123448.884224	0.089421
50107	290445184.00	3727	77930.019855	0.167891
260027	289099752.00	1417	204022.407904	0.078595
450462	289036109.00	4622	62534.856988	0.192100
110177	288844302.00	1580	182812.849367	0.080469
520083	287790498.00	5381	53482.716595	0.211747
670122	287003472.00	3696	77652.454545	0.127494
440091	286838775.00	6236	45997.237813	0.188463
140119	286808700.00	5710	50229.194396	0.322248
50082	286740518.00	3344	85747.762560	0.151774
360003	285620575.00	2768	103186.623916	0.174772
500025	284524670.00	1785	159397.574230	0.162834
450634	284250201.00	2117	134270.288616	0.071921
140148	284055114.00	4581	62007.228553	0.157968
340061	282216350.00	4740	59539.314346	0.288196
390100	282123849.00	6607	42700.749054	0.221607
50492	281964294.00	3832	73581.496347	0.149097
50047	281337472.00	2601	108165.118032	0.238674
50179	281336826.00	1570	179195.430573	0.071786
390050	281300225.00	2907	96766.503268	0.183794
290047	280145866.00	1997	140283.358037	0.092258
100131	276711975.00	2287	120993.430258	0.092140
310057	276703443.00	2737	101097.348557	0.088848
360137	276533275.00	3319	83318.250979	0.235489
110079	275309571.00	2369	116213.411144	0.192527
470003	273217869.00	5037	54242.181656	0.177664
450054	272318574.00	5075	53658.832315	0.219484
140091	270446487.00	4843	55842.760066	0.170359
110005	270166976.00	3594	75171.668336	0.129453
420018	270000185.00	3774	71542.179385	0.200591
450844	269869399.00	3591	75151.600947	0.138100
100110	269148616.00	1651	163021.572380	0.076695
450403	269052239.00	2108	127633.889469	0.074490
340014	269032983.00	6121	43952.455971	0.217851
50093	268524652.00	5223	51411.957113	0.233028
490059	268085415.00	4222	63497.256040	0.165811
170086	267966339.00	5170	51831.013346	0.172235
50222	267708569.00	2351	113870.084645	0.112823
440002	267627888.00	6931	38613.170971	0.253698
250102	266431116.00	4908	54285.068460	0.167831
420027	264999478.00	3604	73529.266926	0.140764
150035	264980302.00	2861	92618.071304	0.098118
110107	262880768.00	3466	75845.576457	0.165100
